"last_name","first_name","emp_no","dept_name"
"Simmel","Bezalel",10002,"Sales"
"Cappelletti","Kazuhito",10016,"Sales"
"Swan","Bader",10034,"Sales"
"Lenart","Uri",10041,"Sales"
"Dredge","Yinghua",10050,"Sales"
"Zschoche","Sanjiv",10053,"Sales"
"Billingsley","Breannda",10060,"Sales"
"Herber","Tse",10061,"Sales"
"Brattka","Charlene",10068,"Sales"
"Eugenio","Xinglin",10087,"Sales"
"Syrzycki","Jungsoon",10088,"Sales"
"Flasterstein","Sudharsan",10089,"Sales"
"Desikan","Sailaja",10093,"Sales"
"Morton","Hilari",10095,"Sales"
"Sullins","Valter",10099,"Sales"
"Heyers","Perla",10101,"Sales"
"Baca","Dung",10107,"Sales"
"Hiltgen","Syozo",10125,"Sales"
"Pintelas","Zissis",10136,"Sales"
"Azumi","Douadi",10148,"Sales"
"Perry","Xiadong",10149,"Sales"
"Lichtner","Itzchak",10151,"Sales"
"Khasidashvili","Debatosh",10160,"Sales"
"Litvinov","Valery",10178,"Sales"
"Sidhu","Duro",10185,"Sales"
"Ranta","Kazuhisa",10199,"Sales"
"Ellozy","Yolla",10209,"Sales"
"Ciolek","Tadahiko",10214,"Sales"
"Duclos","Xiaobin",10215,"Sales"
"Plessier","Xinglin",10226,"Sales"
"Cesareni","Karoline",10228,"Sales"
"Auria","Marko",10232,"Sales"
"Bakhtari","Arunachalam",10234,"Sales"
"Bade","Susumu",10236,"Sales"
"Mandell","Yannis",10237,"Sales"
"Pouyioutas","Wonhee",10243,"Sales"
"Tempesti","Frederique",10248,"Sales"
"Salinas","Zsolt",10253,"Sales"
"Brattka","Shen",10254,"Sales"
"Radhakrishnan","Irene",10256,"Sales"
"Maraist","Mahendra",10262,"Sales"
"Hartvigsen","Bedir",10270,"Sales"
"Lieblein","Baocai",10273,"Sales"
"Schwartzbauer","Isaac",10277,"Sales"
"Seghrouchni","Dipayan",10291,"Sales"
"Ghelli","Yucel",10292,"Sales"
"Lorho","Petter",10296,"Sales"
"Stentiford","Ipke",10299,"Sales"
"Baer","Faiza",10302,"Sales"
"Erie","Bernt",10304,"Sales"
"Kilgour","Heng",10306,"Sales"
"Holburn","Dzung",10308,"Sales"
"Apsitis","Christfried",10314,"Sales"
"Miyakawa","Mechthild",10319,"Sales"
"Stasinski","Uinam",10320,"Sales"
"Ravishankar","Guenter",10321,"Sales"
"Bellmore","Kasturi",10330,"Sales"
"Binkley","Arto",10331,"Sales"
"Bahi","Toshimori",10335,"Sales"
"Radwan","Aamod",10346,"Sales"
"Cochrane","Satyanarayana",10355,"Sales"
"Sidou","Seshu",10361,"Sales"
"Toyoshima","Qunsheng",10369,"Sales"
"Fandrianto","Clyde",10370,"Sales"
"Rosin","Willard",10374,"Sales"
"Kalafatis","Dante",10375,"Sales"
"Lichtner","Takahira",10378,"Sales"
"Kamble","Alejandro",10380,"Sales"
"Kaiser","Hironoby",10388,"Sales"
"Escriba","Shooichi",10398,"Sales"
"Marchegay","Guenter",10399,"Sales"
"Nitto","Ortrud",10400,"Sales"
"Mungall","Atreyi",10403,"Sales"
"Siepmann","Ulf",10407,"Sales"
"Kaiser","Martijn",10408,"Sales"
"Gecsei","Takahito",10410,"Sales"
"Klerer","Lidong",10411,"Sales"
"Bakhtari","Bingning",10417,"Sales"
"Sudbeck","Khosrow",10427,"Sales"
"Bugrara","Patricio",10431,"Sales"
"Unno","Volkmar",10442,"Sales"
"Rosis","Kazuhira",10444,"Sales"
"Oxenboll","Phule",10448,"Sales"
"Sudkamp","Aleksandar",10449,"Sales"
"Badr","Wonhee",10454,"Sales"
"Streng","Sverrir",10455,"Sales"
"Engelmann","Gina",10458,"Sales"
"Karcich","Gal",10461,"Sales"
"Zaiane","Ung",10463,"Sales"
"Shobatake","Yoshimitsu",10468,"Sales"
"Lodder","Salvador",10472,"Sales"
"Vuskovic","Huiqun",10490,"Sales"
"Haraldson","Maris",10493,"Sales"
"Luft","Maik",10499,"Sales"
"Varker","Xiong",10504,"Sales"
"Auria","Isamu",10505,"Sales"
"Riesenhuber","Abdelwaheb",10509,"Sales"
"Slobodova","Keung",10510,"Sales"
"Kirkerud","Raimond",10515,"Sales"
"Speek","Tiina",10517,"Sales"
"Setia","Kwangsub",10521,"Sales"
"Lunt","Yuchang",10525,"Sales"
"Wossner","Mary",10532,"Sales"
"Smailagic","Mohamadou",10533,"Sales"
"Sambasivam","Yechiam",10536,"Sales"
"Benzmuller","Stella",10537,"Sales"
"Reinhard","Yucel",10539,"Sales"
"Eiter","Godehard",10541,"Sales"
"Gunderson","Ramalingam",10548,"Sales"
"Picci","Vitaly",10555,"Sales"
"Comellas","Arumugam",10559,"Sales"
"Joslin","Serge",10561,"Sales"
"Journel","Dietrich",10567,"Sales"
"Poulakidas","Gao",10568,"Sales"
"Morrin","Alassane",10570,"Sales"
"Speel","Tetsushi",10573,"Sales"
"Alvarado","Almudena",10592,"Sales"
"Coors","Sanjit",10596,"Sales"
"Schaad","Lucien",10597,"Sales"
"Rettelbach","Emran",10600,"Sales"
"Restivo","Wayne",10603,"Sales"
"Marwedel","Tommaso",10616,"Sales"
"Kusakabe","Vivian",10619,"Sales"
"Francisci","Lalit",10629,"Sales"
"Herber","Sorina",10633,"Sales"
"Frolund","Heejo",10637,"Sales"
"Borovoy","Jenwei",10638,"Sales"
"Meszaros","Anneke",10640,"Sales"
"Benaini","Pranas",10644,"Sales"
"Dalton","Remko",10655,"Sales"
"McAffer","Shunichi",10670,"Sales"
"Garnier","Florina",10681,"Sales"
"Bage","Larisa",10692,"Sales"
"Zolotykh","Hyuncheol",10701,"Sales"
"Wynblatt","Hironobu",10705,"Sales"
"Kermarrec","Sorina",10710,"Sales"
"Isard","Garnet",10725,"Sales"
"Syang","Yaghout",10744,"Sales"
"Feinberg","Chenyi",10754,"Sales"
"Norsworthy","Goetz",10765,"Sales"
"Doering","Monique",10767,"Sales"
"Perry","Bedir",10770,"Sales"
"Ullian","Frazer",10788,"Sales"
"Naudin","Supot",10795,"Sales"
"Benantar","Terresa",10804,"Sales"
"Zallocco","Munehiro",10807,"Sales"
"Lunn","Lijie",10810,"Sales"
"Shumilov","Shalesh",10813,"Sales"
"Dymetman","Nidapan",10814,"Sales"
"Rullman","Uri",10817,"Sales"
"Gammage","Godehard",10828,"Sales"
"Bergere","Hidde",10832,"Sales"
"Leivant","Jianhua",10836,"Sales"
"Karlin","Chuanti",10837,"Sales"
"Reinhart","Kwangho",10855,"Sales"
"Stenning","Fusako",10857,"Sales"
"Kadhim","Zhenbing",10862,"Sales"
"Spieker","Elliott",10864,"Sales"
"Etalle","Danco",10865,"Sales"
"Papastamatiou","Vincent",10876,"Sales"
"Deville","Lakshmi",10878,"Sales"
"Cronau","Rayond",10885,"Sales"
"Coors","Cheong",10889,"Sales"
"Furudate","Ramzi",10890,"Sales"
"Petersohn","Vishwani",10895,"Sales"
"Kumaresan","Arno",10897,"Sales"
"Carrere","Munehiro",10906,"Sales"
"Prochazka","Mizuhito",10914,"Sales"
"Wossner","Kyoichi",10922,"Sales"
"Maquelin","Younwoo",10923,"Sales"
"Atchley","Hironoby",10924,"Sales"
"Laventhal","Jahangir",10953,"Sales"
"Danley","Urs",10955,"Sales"
"Schnabel","Duke",10957,"Sales"
"Vigier","Kerryn",10959,"Sales"
"Braunschweig","Billur",10960,"Sales"
"Kugler","Naraig",10962,"Sales"
"Braunschweig","Eckart",10965,"Sales"
"Kolinko","Lakshmi",10968,"Sales"
"Murrill","Toong",10977,"Sales"
"Dulin","Sugwoo",10981,"Sales"
"Rahimi","Matk",10996,"Sales"
"Kandlur","Marlo",10998,"Sales"
"Ulupinar","Bluma",11002,"Sales"
"Menhoudj","Gennady",11008,"Sales"
"Axelband","Alper",11009,"Sales"
"Riesenhuber","Jeanna",11015,"Sales"
"Pintelas","Apostol",11022,"Sales"
"Driscoll","Yifei",11023,"Sales"
"Collavizza","Manton",11024,"Sales"
"Itzfeldt","Georgi",11029,"Sales"
"Hellwagner","Kwan",11030,"Sales"
"Cherinka","Elvia",11044,"Sales"
"Demke","Jaques",11048,"Sales"
"Apsitis","Gift",11049,"Sales"
"Neiman","Shaleah",11055,"Sales"
"Speel","Palash",11056,"Sales"
"Vural","Adly",11057,"Sales"
"Pokrovskii","Genevieve",11060,"Sales"
"Erni","Pintsang",11061,"Sales"
"Dalphin","Yishai",11086,"Sales"
"Henders","Conal",11089,"Sales"
"Stamatiou","Narain",11092,"Sales"
"Rissanen","Jovan",11097,"Sales"
"Spataro","Woody",11099,"Sales"
"Carrera","Bernardo",11102,"Sales"
"Stamatiou","Chinho",11109,"Sales"
"Curless","Masato",11120,"Sales"
"Porenta","Gladys",11124,"Sales"
"Heinisuo","Carrsten",11144,"Sales"
"Masand","Ishfaq",11146,"Sales"
"Imataki","Domenico",11149,"Sales"
"Garigliano","Geraldo",11150,"Sales"
"Yetto","Moon",11155,"Sales"
"Schlenzig","Becky",11159,"Sales"
"Huttel","Djenana",11163,"Sales"
"Limongiello","Alain",11164,"Sales"
"Tetzlaff","Shmuel",11168,"Sales"
"Sudkamp","Kristian",11172,"Sales"
"Bodoff","Dante",11189,"Sales"
"Mellouli","Saeko",11190,"Sales"
"Fordan","Tadahiro",11197,"Sales"
"Gini","Leif",11198,"Sales"
"Ebeling","Tayeb",11205,"Sales"
"Sury","Steen",11206,"Sales"
"Peternell","Teruyuki",11212,"Sales"
"Ibel","Elgin",11214,"Sales"
"Neimat","Yishai",11222,"Sales"
"Akiyama","Margareta",11226,"Sales"
"Salinas","Brendon",11237,"Sales"
"Kenevan","Gurbir",11239,"Sales"
"Clemencon","Yolla",11241,"Sales"
"Tsukuda","Uinam",11248,"Sales"
"Rindone","Danel",11254,"Sales"
"Ratzlaff","Gudjon",11256,"Sales"
"Gronowski","Amalendu",11259,"Sales"
"Slutz","Garnik",11269,"Sales"
"Rajaraman","Hidde",11271,"Sales"
"Molenkamp","Frederique",11272,"Sales"
"Schaad","Josyula",11282,"Sales"
"Gini","Joydip",11286,"Sales"
"Eastman","Domenico",11288,"Sales"
"Senzako","Shem",11302,"Sales"
"Reeken","Subhankar",11306,"Sales"
"Dratva","Mohd",11307,"Sales"
"Swab","Jianhua",11310,"Sales"
"Meriste","Neven",11315,"Sales"
"Unno","Gopalakrishnan",11318,"Sales"
"Ferriere","Xiong",11328,"Sales"
"McConalogue","Limsoon",11329,"Sales"
"Vural","Yurij",11334,"Sales"
"Hanratty","Kwangsub",11338,"Sales"
"Gulak","Paddy",11344,"Sales"
"Berztiss","Utpal",11353,"Sales"
"Jayawardene","Subhrajyoti",11359,"Sales"
"Schach","Fen",11360,"Sales"
"Vilarrasa","Susanta",11372,"Sales"
"Rosti","Dayanand",11377,"Sales"
"Provine","Ronnie",11389,"Sales"
"Merey","Huan",11401,"Sales"
"Brizzi","Freyja",11402,"Sales"
"Demeyer","Werner",11412,"Sales"
"Iisaka","Haldun",11427,"Sales"
"Kaminger","Nagui",11429,"Sales"
"Klassen","Georgi",11430,"Sales"
"Aingworth","Marlo",11441,"Sales"
"Nivat","Szabolcs",11443,"Sales"
"Maksimenko","Navin",11468,"Sales"
"Ghandeharizadeh","Constantino",11472,"Sales"
"Ginneken","Nidapan",11478,"Sales"
"Itschner","Masoud",11480,"Sales"
"Deverell","Uri",11482,"Sales"
"Mateescu","Zine",11483,"Sales"
"Siepmann","Holgard",11484,"Sales"
"Ramaiah","Itzchak",11486,"Sales"
"Sevcikova","Shen",11493,"Sales"
"Barriga","Shin",11495,"Sales"
"Picel","Rance",11506,"Sales"
"Basawa","Ulf",11515,"Sales"
"Chinen","Halsur",11519,"Sales"
"Eastman","Eldridge",11521,"Sales"
"Jarecki","Oscar",11530,"Sales"
"Ohori","Aemilian",11535,"Sales"
"Pehl","DAIDA",11537,"Sales"
"Vuskovic","Duro",11546,"Sales"
"Flexer","Kyoichi",11547,"Sales"
"Ferretti","Tommaso",11552,"Sales"
"Hashii","Masasuke",11556,"Sales"
"Pesch","Candido",11557,"Sales"
"Mitzlaff","Teiji",11567,"Sales"
"Merel","Jinxi",11579,"Sales"
"Orsini","Shridhar",11586,"Sales"
"Butner","Pradeep",11594,"Sales"
"Ritzmann","Erez",11601,"Sales"
"Marrakchi","Sigeru",11609,"Sales"
"Mateescu","Annemarie",11611,"Sales"
"Isaak","Shem",11615,"Sales"
"Juneja","Gian",11618,"Sales"
"Ozeki","Taiji",11619,"Sales"
"Baaleh","Ottavia",11621,"Sales"
"Bach","Baoqiu",11632,"Sales"
